term,score
allocate,0.011048502927853273
examines,0.010374520178441747
scarce,0.010329511414110114
societies,0.009373828271466066
inflation,0.009264406151565685
concepts,0.009053050878145936
consumption,0.008900756564307966
economics,0.008785802143735722
goods,0.008503401360544217
markets,0.008488243782361429
distribution,0.008443093549476527
individuals,0.008196049504139005
supply,0.008196049504139005
demand,0.008153946510110893
resources,0.008057368463459834
growth,0.007897022822395955
economic,0.0078064012490242
central,0.00778089013383131
production,0.007755545214828603
study,0.00760687661646128
