term,saliency_score
allocate,-10.666036219956046
examines,-11.310721225428818
scarce,-11.35676907723277
societies,-12.438817173474444
inflation,-12.576934884030496
concepts,-12.853152869693565
consumption,-13.060297571285583
economics,-13.221396344971385
goods,-13.635578189712165
markets,-13.658584583572926
distribution,-13.727601005865589
individuals,-14.118601779510767
supply,-14.118601779510767
demand,-14.187582497133938
resources,-14.348509755413598
growth,-14.624277792829767
economic,-14.78506615717059
central,-14.830993599495539
production,-14.87691520219601
study,-15.152305937962385
